Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Вівчаренко;Аліна;Розаліяівна;Жіноча;1999-08-20;Громадський діяч;місто Шаргород;шосе Рівності, буд. 9 кв. 7, Новодружеськ, 42904;+380 35 024 30 34;roman13@example.net
Данилюк;Соломія;Ольгаівна;Жіноча;2005-01-25;Фізик;селище Ватутіне;вулиця Лиманний, буд. 113, Зеленодольськ, 20364;031 101 67 68;venedyktkhudiak@example.net
Якименко;Опанас;Гордійович;Чоловіча;1960-12-15;Патологоанатом;село Вугледар;парк Кутузова, буд. 3 кв. 3, Покровськ, 32409;937-01-99;leon31@example.net
Чабан;Устим;Святославович;Чоловіча;1959-10-25;Ріелтор;селище Олександрія;провулок Берегова, буд. 889, Новояворівськ, 94802;032 296 49 22;eibozhenkoroman@example.org
Лубенець;Розалія;Віраівна;Жіноча;1967-10-29;Ветеринар;місто Єнакієве;сквер Леваневського тупик, буд. 0, Світловодськ, 67190;+380 35 071-57-33;varvararak@example.com
Сагаль;Богданна;Одаркаівна;Жіноча;2002-08-18;Маркетолог;село Борислав;парк Світанку, буд. 06 кв. 3, Судак , 14515;078 495 78 97;amaliiaoberemko@example.org
Конопля;Сніжана;Каміллаівна;Жіноча;1941-11-17;Круп'є;хутір Чортків;провулок 2-й Академічний тупик, буд. 8, Молочанськ, 30515;+380 (07) 422-58-28;ykomar@example.com
Товстуха;Орест;Трохимович;Чоловіча;2004-09-07;Флорист;селище Тетіїв;парк Левкоєва, буд. 324 кв. 0, Лебедин, 54621;088 801-51-95;yzinchenko@example.net
Алексійчук;Давид;Макарович;Чоловіча;1968-05-14;Художник;село Селидове;сквер Авдєєва-Чорноморського, буд. 2 кв. 72, Біляївка, 66925;+380 40 215-80-52;kanivetsvioletta@example.net
Назаренко;Едита;Василинаівна;Жіноча;2000-04-24;Гірничий інженер;село Первомайський ;площа Восьмого березня 1-й, буд. 5 кв. 18, Городище , 73793;022 139 01 99;onufriienkovitalii@example.org
Мазур;Євген;Святославович;Чоловіча;2007-05-18;Інженер;село Костопіль;парк Прорізна, буд. 108 кв. 242, Маріуполь, 49134;+380 43 817-26-21;aieresko@example.com
Ващенко-Захарченко;Орина;Амаліяівна;Жіноча;1995-05-03;Няня;селище Зугрес;набережна Єфімова, буд. 82 кв. 609, Соснівка , 19200;+380 25 365-91-73;vlasiukleon@example.org
Бабак;Ада;Даннаівна;Жіноча;1977-11-06;Круп'є;село Прип'ять ;сквер Академіка Богатського, буд. 32, Бучач, 14318;090 429-24-35;petrochmil@example.net
Худяк;Панас;Парменович;Чоловіча;1955-03-30;Науковець;місто Новий Буг;набережна Пересипська 4-та, буд. 622 кв. 772, Ромни, 44175;+380 00 576-80-65;prytulaviacheslav@example.com
Деркач;Валерій;Олександрович;Чоловіча;1941-07-28;Електротехнік;село Вишневе ;парк Довженка, буд. 2 кв. 958, Скалат, 49565;041 763-59-73;volodymyra61@example.org
Шовкопляс;Аліна;Світланаівна;Жіноча;1956-02-23;Біолог;місто Винники;площа Віцеадмірала Азарова, буд. 897 кв. 94, Кіцмань, 44098;665 33 41;marusiadrobakha@example.org
Чуприна;Валентина;Михайлинаівна;Жіноча;1948-02-18;Правник;село Васильків;площа Балтський 4-й, буд. 678, Люботин, 77106;+380 65 604-31-01;illiazakharenko@example.com
Ажажа;Болеслав;Андрійович;Чоловіча;1972-09-28;Астрофізик;хутір Буськ;сквер Магнітогорський 2-й, буд. 9, Черкаси, 60658;321-15-00;ihnathabelko@example.org
Жук;Дмитро;Пилипович;Чоловіча;1987-12-03;Машиніст;село Кременець;шосе 9-та Лінія Дачі Ковалевського, буд. 43 кв. 3, Жмеринка, 28321;+380 (10) 978-46-18;hrytsenkomaksym@example.com
Сіробаба;Болеслав;Станіславович;Чоловіча;1994-06-10;Інженер;село Чоп;парк Золотий берег, буд. 27 кв. 6, Болехів, 36320;+380 01 879-95-31;skovpak@example.net
Вертипорох;Пилип;Владиславович;Чоловіча;1956-03-14;Філолог;село Одеса;шосе Долинська, буд. 7, Географія Вільнянська, 44313;021 253 27 45;varfolomiioberemko@example.net
Жаліло;Людмила;Анастасіяівна;Жіноча;2004-04-19;Нотаріус;хутір Зоринськ;шосе Металістів, буд. 87, Перевальськ, 90430;072 794-04-11;epanchuk@example.com
Данькевич;Віталій;Леонідович;Чоловіча;1947-07-18;Музикознавець;хутір Погребище;проспект Листяна, буд. 32, Вільнянськ, 54384;+380 14 412 97 36;fhavrylets@example.org
Лукаш;Стефан;Ярославович;Чоловіча;1989-11-08;Каскадер;село Ірміно;сквер Амбулаторна, буд. 31, Добропілля, 43162;+380 (31) 852-15-95;tsisyksnizhana@example.net
Пʼятаченко;Варвара;Маріяівна;Жіноча;1961-07-19;Сценарист;хутір Ківерці;площа Михайла Жванецького, буд. 223, Яготин, 91551;000 106-04-72;nataliianesterenko@example.com
Малик;Азар;Олегович;Чоловіча;1981-08-30;Кінорежисер;селище Інкерман;площа Лінія 24-та, буд. 7, Хрустальний, 44064;689 62 87;nalyvaikoiustym@example.org
Супруненко;Сніжана;Даннаівна;Жіноча;1959-11-24;Громадський діяч;хутір Молочанськ;проспект Краснова, буд. 100 кв. 3, Золоте, 54929;732 58 10;oleskorzh@example.net
Чалий;Михайло;Теодорович;Чоловіча;1948-04-09;Пекар;селище Новий Розділ;парк Тимірязєва 4-й, буд. 347 кв. 64, Радивилів, 60324;065 545-67-16;milenadarahan@example.com
Жук;Ігор;Тимофійович;Чоловіча;2006-07-27;Актор;село Євпаторія;набережна Біляївська, буд. 4, Галич, 53836;+380 36 850-02-90;bohdannamakarenko@example.com
Вишняк;Емілія;Пріскаівна;Жіноча;1990-01-04;Стропальник;місто Нове Давидково;шосе Державіна, буд. 175, Полтава, 76724;+380 51 802-33-40;stepan47@example.net
Шеремет;Василина;Едитаівна;Жіноча;1945-09-19;Кінолог;селище Львів;провулок Пантелеймонівська, буд. 82, Миколаїв, 64922;+380 02 870-17-58;myronoberemko@example.net
Ляшко;Владислав;Олесьович;Чоловіча;2001-03-11;Доцент;село Авдіївка;сквер Успенська, буд. 9 кв. 84, Берислав, 39932;+380 85 220-98-86;oryna44@example.net
Сіробаба;Орест;Прохірович;Чоловіча;1977-11-02;Музикант;село Авдіївка;провулок Садова 5-та, буд. 6, Червоносів, 25477;024 913 23 82;viktoriiarubets@example.org
Мазепа;Аніта;Марʼянаівна;Жіноча;1990-02-02;Реабілітолог;місто Знам'янка;парк Щоголєва, буд. 355, Гірник , 28657;+380 (13) 120-43-46;zynoviiandriievych@example.net
Швачко;Дмитро;Болеславович;Чоловіча;1970-08-08;Кур'єр;місто Волочиськ;вулиця Академіка Філатова, буд. 65, Сокиряни, 58987;891-42-90;zhaivoronalla@example.com
Масляк;Михайло;Зиновійович;Чоловіча;1951-09-22;Дизайнер;селище Гайворон;парк Андрійця Олега, буд. 336 кв. 30, Почаїв, 15732;511 08 89;shynkarenkonestor@example.org
Воблий;Дан;Венедиктович;Чоловіча;1968-04-28;Редактор;місто Дружківка;парк Розкидайлівська, буд. 398 кв. 62, Соснівка , 69901;039 006 86 77;drobakhastefan@example.org
Худяк;Богданна;Єлисаветаівна;Жіноча;1979-04-27;Архітектор;хутір Вараш;сквер Олександра Невського 4-й, буд. 48 кв. 76, Ясинувата, 19792;+380 (18) 221-92-15;martaumanets@example.com
Єресько;Охрім;Леонович;Чоловіча;1991-11-15;Ветеринар;хутір Ялта;набережна Наявний 4-й, буд. 98, Зеленодольськ, 39220;+380 75 577-78-51;jdankiv@example.com
Атрощенко;Леонід;Георгійович;Чоловіча;1972-09-03;Археолог;селище Васильків;шосе Леонтовича, буд. 752 кв. 41, Решетилівка, 32596;+380 09 182 19 42;demydzhadan@example.org
Василечко;Ігнат;Трохимович;Чоловіча;2005-11-19;Золотар;селище Херсон;узвіз Лузанівська, буд. 5, Белз, 30579;932 51 81;viktor56@example.net
Гузь;Ілля;Данович;Чоловіча;1948-03-23;Клоун;село Тростянець;шосе Сурикова 2-й, буд. 159 кв. 160, Дубляни, 65430;248-10-16;albinamasokha@example.com
Охримович;Стефан;Климентович;Чоловіча;1949-08-24;Маркетолог;село Болехів;проспект Тираспольська, буд. 1 кв. 09, Підгородне, 50295;262 87 34;parmen14@example.net
Рудик;Миколай;Артемович;Чоловіча;1964-09-28;Кінорежисер;місто Знам'янка;узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 952 кв. 452, Виноградів, 50449;066 373 91 03;khoma78@example.net
Бабич;Аркадій;Бориславович;Чоловіча;1957-07-16;Головний меркшейдер;село Берислав;узвіз Квітковий, буд. 0, Калинівка , 56417;389 83 32;zbaida@example.net
Бабич;Вікторія;Богуславаівна;Жіноча;1993-03-18;Медик;хутір Монастирище;провулок Аеродромний 3-й, буд. 2, Білогірськ, 94018;+380 46 085-97-27;anitamasliak@example.com
Артим;Марія;Анжелаівна;Жіноча;1962-06-04;Музикознавець;хутір Броди;провулок Вернидуба, буд. 2 кв. 749, Золоте, 29372;+380 50 033-73-97;tymchenkoalla@example.org
Твердохліб;Богдан;Антонович;Чоловіча;1997-04-01;М'ясник;селище Брянка;площа Богуна, буд. 0, Бахмут, 69986;+380 72 458-74-21;pavlobashpolchenko@example.net
Бабій;Амвросій;Федірович;Чоловіча;1964-12-09;Євнух;місто Берестечко;сквер Байкальська, буд. 099 кв. 137, Моспине, 23385;085 886 90 29;chumakbohuslav@example.com
Шамрай;Дарина;Одаркаівна;Жіноча;1982-04-17;Ветеринар;місто Переяслав;провулок Лінія 41-ша, буд. 07, Ямпіль, 74350;020-93-98;ieremenkooleksa@example.net
Данилюк;Ярослава;Ларисаівна;Жіноча;1944-11-20;Геолог;селище Деражня;набережна Шилова, буд. 1 кв. 90, Новодружеськ, 75110;002 626-81-67;miemelianenko@example.org
Арсенич;Пармен;Августинович;Чоловіча;1988-08-30;Зоолог;село Харцизьк;набережна Костанді 3-й, буд. 85, Івано-Франківськ, 56935;+380 23 576-91-43;svitlana03@example.net
Тимчук;Веніямин;Остапович;Чоловіча;1939-03-14;Кінорежисер;хутір Курахове;шосе Каспійський, буд. 4, Вільнянськ, 51166;097 235-26-40;bohodar89@example.com
Прокопович;Аркадій;Георгійович;Чоловіча;1998-10-26;Антрополог;хутір Бровари;парк 1-ша Лінія Марії Демченко, буд. 1 кв. 2, Зіньків, 33675;017-20-66;kfastenko@example.com
Аверченко;Андрій;Маркоович;Чоловіча;2003-09-17;Краєзнавець;місто Бершадь;узвіз Недєліна, буд. 24, Соснівка , 60102;+380 38 959-73-24;olenaarsenych@example.net
Атрощенко;Соломія;Ганнаівна;Жіноча;1958-11-18;Доцент;хутір Дружківка;набережна Морський 2-й, буд. 35 кв. 73, Українськ, 38084;+380 64 896-68-23;zlatoslavavyshyvanyi@example.net
Єрошенко;Єва;Богуславаівна;Жіноча;1991-03-21;Кіноактор;хутір Ржищів;вулиця Ангарська, буд. 60 кв. 6, Хмельницький, 90167;+380 87 996-41-72;kteslenko@example.net
Дубина;Христина;Аллаівна;Жіноча;1958-12-27;Будник;село Запоріжжя;проспект Демократична, буд. 84 кв. 6, Суми, 39076;765-26-20;volodymyrbabak@example.com
Туркало;Сергій;Олегович;Чоловіча;1961-07-11;Краєзнавець;місто Дружківка;проспект Монгольська, буд. 6 кв. 714, Носівка, 28777;+380 27 972 07 22;marianaumanets@example.net
Дубас;Христина;Любовівна;Жіноча;1988-12-04;Фізик;місто Васильків;сквер Рибальський, буд. 9, Буськ, 59307;038 974 30 33;iatseniukoksana@example.net
Назаренко;Богданна;Анжелаівна;Жіноча;1987-02-20;Патологоанатом;село Березань ;площа Геологічна, буд. 9, Жашків, 91635;+380 40 762 10 19;oleh02@example.net
Атаманчук;Ярослава;Клавдіяівна;Жіноча;1984-11-01;Історик;селище Феодосія;площа Старокінний, буд. 883, Старий Самбір, 32704;+380 07 025-31-45;dashenkofeofan@example.com
Базавлученко;Гордій;Левкоович;Чоловіча;2002-03-16;Кінолог;селище Кагарлик;узвіз Бориса Літвака, буд. 49 кв. 191, Гайворон, 55467;+380 61 874-34-47;snizhana96@example.net
Ющенко;Максим;Климентович;Чоловіча;1955-02-24;Флорист;село Макіївка;площа Моторний 1-й, буд. 78, Івано-Франківськ, 92088;971-30-44;mykolai41@example.net
Фаренюк;Геннадій;Миколайович;Чоловіча;1993-03-16;Геолог;селище Монастириська;набережна Каманіна, буд. 62, Бахмач, 44759;042 175 47 40;teodor98@example.org
Савенко;Дарина;Ганнаівна;Жіноча;1964-09-05;Вчитель;село Помічна;провулок Пересипська 10-та, буд. 11, Соледар, 46582;+380 94 400-37-56;suprunenkomykhailyna@example.net
Хмара;Вікторія;Ярославаівна;Жіноча;1975-06-28;Круп'є;місто Роздільна;площа Бабеля, буд. 7, Городенка, 63845;151-99-62;panchukanzhela@example.com
Матяш;Леопольд;Бориславович;Чоловіча;1999-07-07;Клоун;місто Кам'янське;сквер Наклонна, буд. 8, Дружба , 07924;+380 (60) 845-60-05;jbabych@example.net
Москаль;Альбіна;Одаркаівна;Жіноча;1941-09-23;Ріелтор;селище Могилів-Подільський;площа Ланжеронівський узвіз, буд. 1, Сарни, 78279;+380 12 516-92-22;isyrotenko@example.org
Ващенко-Захарченко;Дарина;Марʼянаівна;Жіноча;1986-07-28;Кінорежисер;хутір Голубівка;площа Цимлянська, буд. 232 кв. 38, Міусинськ, 54344;472 68 56;derkachsymon@example.com
Кащенко;Златослава;Марусяівна;Жіноча;1983-07-03;Музикознавець;селище Берислав;вулиця Маршала Бабаджаняна, буд. 2 кв. 7, Харцизьк, 61436;022 528-83-25;qtkach@example.com
Дробʼязко;Лукʼян;Валентинович;Чоловіча;1975-09-08;Редактор;селище Житомир;площа Іванова, буд. 44, Вугледар, 16946;049 872-29-14;ieshchenkozlatoslava@example.net
Жаліло;Лариса;Одаркаівна;Жіноча;1968-05-09;Публіцист;селище Сновськ;шосе Левкоєва, буд. 275 кв. 971, Ялта, 85121;+380 76 223 58 10;khudiakielysei@example.net
Цушко;Мартин;Данович;Чоловіча;1996-12-02;Будник;місто Хрустальний;набережна Чапаєва, буд. 23, Рава-Руська, 81808;888 73 97;ndemianenko@example.net
Бабʼюк;Наталія;Маринаівна;Жіноча;1986-09-03;Пекар;село Корсунь-Шевченківський;парк Левкоєва, буд. 9 кв. 740, Городня, 05150;046 252 08 62;leonid89@example.org
Бабʼюк;Стефан;Климентович;Чоловіча;1948-09-01;Громадський діяч;село Ромни;набережна Амбулаторна, буд. 42 кв. 41, Перевальськ, 42681;027 32 08;iakymchukoleh@example.org
Царенко;Климент;Тарасович;Чоловіча;1954-01-18;Електрослюсар;місто Ровеньки;площа Овідіопольський, буд. 7, Рудки, 25581;+380 (77) 922-42-47;uperepelytsia@example.com
Панчук;Леонід;Стефанович;Чоловіча;1946-11-23;Музикант;село Новомосковськ;провулок Польський узвіз, буд. 6, Синельникове, 89907;+380 21 377-64-70;ypetrenko@example.net
Яремчук;Омелян;Трохимович;Чоловіча;1952-02-06;Геолог;місто Залізне;вулиця Бориса Дерев'янка, буд. 975 кв. 70, Люботин, 21541;+380 (68) 046-40-93;martazabashta@example.net
Бевз;Семен;Соломонович;Чоловіча;1949-06-01;Перекладач;село Токмак;парк Крилова, буд. 457 кв. 9, Кремінна, 12732;+380 40 362-52-06;verhunhordii@example.com
Наливайко;Валентин;Теодорович;Чоловіча;1955-10-17;Парфюмер;село Монастириська;вулиця Олексіївська, буд. 5, Сколе, 06489;+380 63 759-51-99;bohodar58@example.net
Фоменко;Марта;Аллаівна;Жіноча;2008-06-13;Шериф;хутір Ворожба;проспект Степана Разіна, буд. 40 кв. 60, Новогродівка, 34283;+380 12 765 00 12;korpaniukokseniia@example.org
Шило;Симон;Левкоович;Чоловіча;1967-12-01;Футболіст;село Тлумач;парк Східчастий 4-й, буд. 67 кв. 71, Переяслав, 46721;+380 74 396-04-90;nsachenko@example.org
Їжакевич;Олександр;Богданович;Чоловіча;1950-04-19;Модельєр;село Коростишів;парк Каховський, буд. 6 кв. 4, Ходорів, 05318;060 673 81 08;xderkach@example.org
Шеремета;Зорян;Адамович;Чоловіча;1938-12-05;Візажист;місто Привілля;провулок Геранієва, буд. 281, Андрушівка, 63391;036 570-13-84;arkhymovychmilena@example.org
Супруненко;Емілія;Марʼянаівна;Жіноча;1953-07-11;Машиніст;місто Косів;узвіз Уральська, буд. 82, Шумськ, 93180;+380 84 541-56-99;kyrylo84@example.org
Архипенко;Олег;Болеславович;Чоловіча;1953-03-31;Доцент;місто Костянтинівка;провулок Олександрівський, буд. 71, Умань, 66334;010 269 00 40;iereskotrokhym@example.org
Романець;Ірина;Ерікаівна;Жіноча;1971-04-16;Драматург;місто Миколаїв;узвіз Шебелінський, буд. 9 кв. 69, Почаїв, 10911;+380 78 828-12-33;ydemianiuk@example.com
Приймак;Єлисей;Ростиславович;Чоловіча;2003-12-02;Менеджер;місто Родинське;набережна Левадна, буд. 42 кв. 2, Перемишляни, 59179;+380 64 447-53-74;emiliia84@example.org
Дрозденко;Тарас;Григорійович;Чоловіча;1982-09-07;Астронавт;місто Сколе;шосе Зелена, буд. 974 кв. 569, Чуднів, 77445;070 721 36 23;nazar47@example.net
Конопленко;Одарка;Аллаівна;Жіноча;1996-08-10;Конструктор;селище Алушта;провулок Косвена, буд. 0, Волочиськ, 29948;445 16 14;savenkostanislav@example.net
Овсієнко;Ганна;Марусяівна;Жіноча;1987-10-30;Фізик;село Залізне;провулок Чапаєва 2-й, буд. 91 кв. 4, Буськ, 13168;+380 08 136 79 42;olha79@example.net
Козак;Богданна;Міленаівна;Жіноча;1945-05-06;Письменник;село Буськ;узвіз Наявний 1-й, буд. 055 кв. 581, Тараща, 43002;+380 94 135-44-54;hkabaliuk@example.org
Акименко;Зиновій;Азарович;Чоловіча;1941-10-07;Прокурор;хутір Знам'янка;вулиця Катерининська, буд. 49 кв. 53, Ржищів, 55120;+380 56 811-19-22;tarassheremet@example.org
Давиденко;Клавдія;Любовівна;Жіноча;1942-08-25;Письменник;село Луцьк;проспект Віцеадмірала Жукова, буд. 7 кв. 99, Заводське, 99484;+380 (01) 675-15-64;iadamchuk@example.net
Чарниш;Семен;Амвросійович;Чоловіча;1990-04-07;Краєзнавець;селище Тисмениця;шосе Йосипа Тимченка, буд. 5 кв. 12, Енергодар, 12472;057 074-76-86;wderkach@example.com
Дутка;Варфоломій;Хомаович;Чоловіча;1985-08-22;Золотар;хутір Дрогобич;набережна Єфімова, буд. 4, Маріуполь, 70178;+380 (32) 202-24-93;irynapetryk@example.net
Джус;Вʼячеслав;Ростиславович;Чоловіча;1998-05-30;Дизайнер;село Торецьк;набережна Олександра Матросова, буд. 86, Комарно, 78207;029 300-56-31;borys20@example.org
Якимчук;Анастасія;Одаркаівна;Жіноча;1977-11-06;Стропальник;селище Виноградів;вулиця Ювілейний 2-й, буд. 597, Пирятин, 60044;+380 32 769-76-64;onysymmazepa@example.org
Данько;Леонтій;Бориславович;Чоловіча;1966-08-11;Гицель;місто Біла Церква;набережна Літній, буд. 2 кв. 10, Лохвиця, 11944;005 027 10 77;viktor55@example.net
Шведченко;Климент;Несторович;Чоловіча;2006-02-16;Сантехнік;місто Червоноград;шосе Дігтярна, буд. 460 кв. 03, Брянка, 92677;199 57 40;vasyltsymbaliuk@example.net
Охріменко;Петро;Ігнатович;Чоловіча;1955-10-04;Скульптор;місто Миколаїв;шосе Одеська, буд. 25 кв. 92, Курахове, 58824;176-55-22;nestor09@example.net
Овсієнко;Ярослава;Анітаівна;Жіноча;2007-04-03;Провізор;селище Снятин;узвіз Разумовська, буд. 02 кв. 1, Фастів, 18035;+380 54 136-74-49;leon54@example.com
Журба;Анжела;Ларисаівна;Жіноча;1969-02-09;Фотограф;місто Косів;проспект Пироговський, буд. 41 кв. 66, Підгородне, 84376;023 304-62-80;viacheslav05@example.org
Саєнко;Панас;Володимирович;Чоловіча;1960-10-14;Сценарист;хутір Славутич;шосе Дюківська, буд. 404, Шпола, 67380;085 761 20 65;liza80@example.net
Голобородько;Лілія;Наталіяівна;Жіноча;1949-02-18;Няня;місто Часів Яр;вулиця Долинська, буд. 8, Чуднів, 85902;+380 90 509-82-67;larysamasokha@example.org
Андрейко;Аніта;Любовівна;Жіноча;1988-04-09;Юрист;місто Калинівка ;парк Академіка Панкратової, буд. 8, Заводське, 31878;364 59 68;konoplenkovitalii@example.net
Журавель;Віра;Анастасіяівна;Жіноча;1970-07-25;Психолог;хутір Судова Вишня;набережна Покровський, буд. 9 кв. 203, Алупка, 72402;085 571-29-99;levko37@example.org
Данько;Світлана;Адаівна;Жіноча;1941-10-27;Продюсер;місто Красногорівка;шосе Разумовська, буд. 9 кв. 08, Яготин, 39725;+380 68 080-59-79;xsaienko@example.com
Щербак;Леопольд;Сергійович;Чоловіча;2004-05-12;Психолог;селище Миронівка;набережна Шухевича Романа, буд. 69 кв. 36, Дубно, 47665;053 572 79 57;hordii60@example.net
Петлюра;Марʼяна;Одаркаівна;Жіноча;1996-04-24;Державний службовець;селище Деражня;парк Нова, буд. 41 кв. 363, Стебник, 38351;020 196 81 02;demyd73@example.com
Чередник;Ірина;Михайлинаівна;Жіноча;1994-07-24;Паблік рилейшнз;хутір Довжанськ;проспект Москеті, буд. 354 кв. 272, Рудки, 13503;+380 29 495-18-24;rozaliia07@example.com
Гаврилишина;Єлисавета;Маринаівна;Жіноча;1980-08-05;Клавішник;хутір Погребище;проспект Ушинського, буд. 2, Молочанськ, 30404;040 522 39 11;pavlo38@example.org
Ващенко;Омелян;Опанасович;Чоловіча;1996-04-28;Реставратор;хутір Коломия;сквер Шкільний аеродром, буд. 76, Сніжне, 72923;+380 76 582 64 00;aonyshchenko@example.org
Нестеренко;Степан;Леопольдович;Чоловіча;1964-11-20;Фрілансер;хутір Острог;площа Амурський 2-й, буд. 6, Керч, 78314;+380 67 840-48-51;tpustovit@example.net
Сірко;Людмила;Даринаівна;Жіноча;1997-12-07;Пекар;селище Заставна;парк Злакова, буд. 5 кв. 40, Молочанськ, 21112;130 02 07;semenpiatachenko@example.net
Тимченко;Амвросій;Давидович;Чоловіча;1982-08-11;Астронавт;село Святогірськ;проспект Ткачова, буд. 215, Гайсин, 21951;+380 72 665-79-95;amaliia81@example.org
Гаврилюк;Владислав;Миколайович;Чоловіча;2008-01-10;Дипломат;селище Любомль;сквер Академіка Сахарова, буд. 9, Дубровиця, 41020;640-26-14;vadym89@example.org
Притула;Орися;Ліліяівна;Жіноча;2001-06-17;Перекладач;хутір Кривий Ріг;провулок Аеропортівський 1-й, буд. 25, Добропілля, 95191;+380 52 037-66-86;eduard96@example.org
Ляшко;Розалія;Лізаівна;Жіноча;1989-08-28;Фотограф;селище Апостолове;провулок 7-ма Лінія Дачі Ковалевського, буд. 5 кв. 83, Тиврів, 33309;006 125 91 22;avramchukstanislav@example.org
Нестеренко;Юстина;Оксеніяівна;Жіноча;1950-01-24;Електромонтажник;село Новгород-Сіверський;площа Теліги Олени, буд. 4, Сколе, 44923;+380 88 623 96 95;lavramchuk@example.org
Шеремета;Надія;Оксеніяівна;Жіноча;1964-09-20;Філолог;місто Путивль;шосе Моторна, буд. 331, Ромни, 52760;+380 44 002 92 93;heorhiiishchak@example.org
Алексюк;Данило;Пилипович;Чоловіча;2006-03-31;Ґрунтознавець;місто Виноградів;вулиця Аркадіївський, буд. 892, Докучаєвськ, 91011;556-32-49;kolisnychenkonestor@example.org
Дацюк;Варфоломій;Захарович;Чоловіча;1982-01-04;Епідеміолог;селище Бучач;площа Василя Симоненка, буд. 38, Городок, 08546;+380 08 461-83-63;alutsenko@example.com
Рудько;Марія;Михайлинаівна;Жіноча;1960-10-26;Промисловець;село Заліщики;сквер Курортний 6-й, буд. 166, Новий Калинів, 73779;+380 (29) 929-57-58;mshyian@example.org
Засядько;Олекса;Лукʼянович;Чоловіча;1959-07-12;Фрілансер;місто Корсунь-Шевченківський;площа Подільська, буд. 730, Нова Одеса, 46141;+380 (55) 345-62-71;wzasukha@example.org
Худобʼяк;Михайло;Лесьович;Чоловіча;1948-01-21;Композитор;хутір Миколаїв;площа Кедровий, буд. 64, Святогірськ, 37125;064 528 29 88;sviatoslav64@example.net
Макаренко;Оксенія;Каміллаівна;Жіноча;1943-10-15;Палеонтолог;селище Ржищів;вулиця Лесі Українки, буд. 2, Немирів, 68970;086 372-27-42;ctereshchenko@example.net
Вовк;Алевтин;Охрімович;Чоловіча;1971-01-08;Інженер;село Помічна;парк Овідіопольський, буд. 864, Березне, 63979;+380 92 959-27-18;solomon17@example.net
Рудик;Опанас;Богодарович;Чоловіча;1975-10-03;Фольклорист;хутір Вараш;парк Зелена балка, буд. 143 кв. 1, Яготин, 67367;082 052-38-29;vladyslav34@example.org
Гоголь;Оксенія;Маринаівна;Жіноча;1982-04-28;Психолог;хутір Жмеринка;шосе Лобачевського, буд. 754, Моспине, 76812;+380 24 820-02-43;ghuzenko@example.net
Дашенко;Аврелій;Георгійович;Чоловіча;1955-06-15;Режисер;хутір Молодогвардійськ;шосе Десята, буд. 57 кв. 2, Горлівка, 86618;+380 (82) 779-94-94;orestvakhnii@example.net
Дараган;Валерій;Ростиславович;Чоловіча;1996-01-09;Локсмайстер;селище Біла Церква;узвіз Лінія 51-ша, буд. 195 кв. 714, Марганець , 75498;090 710 20 11;iermolenkooksana@example.net
Асаула;Пріска;Даринаівна;Жіноча;1956-10-14;Програміст;хутір Городище ;вулиця Тінистий, буд. 5 кв. 25, Світлодарськ, 22090;075 517-38-43;oleksandrvanchenko@example.org
Савенко;Алла;Міленаівна;Жіноча;1971-01-16;Дипломат;село Сіверськ;парк Олександрівський, буд. 098 кв. 86, Мена , 60588;041 902 48 71;vviter@example.org
Балабан;Данило;Григорійович;Чоловіча;1961-11-17;Живописець;село Соледар;провулок Шкіперська, буд. 73, Курахове, 40411;343-65-52;dashkevychhennadii@example.com
Дробаха;Аніта;Марусяівна;Жіноча;1941-03-01;Філолог;селище Копичинці;провулок Лазурний 1-й, буд. 7 кв. 460, Верхівцеве, 64146;+380 26 505 92 97;feofan88@example.com
Вакуленко;Степан;Костянтинович;Чоловіча;2004-10-23;Журналіст;хутір Кам'янець-Подільський;узвіз Героїв Небесної Сотні, буд. 804, Ніжин, 71807;040 208-11-05;wgerus@example.org
Романчук;Олесь;Тарасович;Чоловіча;1999-04-21;Живописець;селище Надвірна;вулиця Князівський, буд. 147, Рахів, 69068;+380 63 278-89-28;ieremenkomakar@example.net
Хмара;Роксолана;Маринаівна;Жіноча;1999-07-04;Євнух;хутір Заводське;площа Лядова, буд. 787, Шостка, 73221;421-26-75;fiurchenko@example.net
Чумаченко;Герман;Олесьович;Чоловіча;1942-04-13;Астрофізик;селище Білицьке;парк Лиманчик 2-й Лінія 5-та, буд. 04 кв. 9, Ананьїв, 37276;003-80-88;demydzatovkaniuk@example.net
Іваничук;Євген;Вʼячеславович;Чоловіча;1958-04-20;Редактор;хутір Молодогвардійськ;набережна Віцеадмірала Азарова, буд. 40 кв. 35, Путивль, 25256;+380 97 171-29-00;zorian01@example.net
Мазур;Вадим;Павлоович;Чоловіча;1949-06-07;Композитор;хутір Болехів;парк Аеродромна, буд. 042 кв. 5, Добромиль, 53190;475 54 28;iefymenkoolena@example.org
Тимченко;Станіслав;Прохірович;Чоловіча;1991-11-29;Ювелір;хутір Калинівка ;набережна Толбухіна, буд. 7, Козятин, 84505;+380 (48) 004-47-79;herman50@example.org
Бабак;Адам;Орхипович;Чоловіча;1961-05-04;Прокурор;хутір Часів Яр;шосе Черепанових 2-й, буд. 0, Почаїв, 47229;079-59-46;korpaniukolena@example.net
